time,open,high,low,close,Volume,Volume MA
2020-09-11 13:00:00,1.18376,1.18399,1.18284,1.1836,5842,6388.55
2020-09-11 14:00:00,1.18363,1.18493,1.1831,1.18343,7468,6380.5
2020-09-11 15:00:00,1.18342,1.18599,1.18336,1.18568,7625,5965.65
2020-09-11 16:00:00,1.18567,1.18741,1.18544,1.18729,6924,5619.95
2020-09-11 17:00:00,1.1873,1.18736,1.18549,1.1859,5233,5297.15
2020-09-11 18:00:00,1.18593,1.1865,1.1848,1.18505,5456,4993.25
2020-09-11 19:00:00,1.18505,1.18567,1.18348,1.18464,6188,4781.8
2020-09-11 20:00:00,1.18465,1.18575,1.18398,1.18401,9033,4845.9
2020-09-11 21:00:00,1.18401,1.18507,1.18279,1.18289,8704,4817.1
2020-09-11 22:00:00,1.18288,1.18393,1.18286,1.1831,6246,4665.95
2020-09-11 23:00:00,1.18308,1.1841,1.18293,1.18373,4972,4821.3
2020-09-12 00:00:00,1.18373,1.18384,1.18267,1.18277,6057,5088.65
2020-09-12 01:00:00,1.18277,1.18383,1.18263,1.18308,5582,5267.75
2020-09-12 02:00:00,1.18307,1.18454,1.18273,1.18417,5599,5481.45
2020-09-12 03:00:00,1.18412,1.18471,1.18386,1.18461,1197,5357.25
2020-09-14 04:00:00,1.18359,1.18379,1.18343,1.18349,173,5146.25
2020-09-14 05:00:00,1.18356,1.18475,1.18356,1.18454,1356,5078.6
2020-09-14 06:00:00,1.18459,1.18466,1.18384,1.18405,1317,4976.2
2020-09-14 07:00:00,1.18404,1.18431,1.1832,1.18344,2099,4978.25
2020-09-14 08:00:00,1.18346,1.18448,1.18339,1.18435,2777,4992.4
2020-09-14 09:00:00,1.18434,1.18506,1.18425,1.18492,3046,4852.6
2020-09-14 10:00:00,1.18492,1.18511,1.18459,1.18472,1971,4577.75
2020-09-14 11:00:00,1.18473,1.18503,1.18452,1.18474,1482,4270.6
2020-09-14 12:00:00,1.18475,1.18545,1.18451,1.18542,2047,4026.75
2020-09-14 13:00:00,1.18539,1.1854,1.18427,1.18437,4585,3994.35
2020-09-14 14:00:00,1.18439,1.18644,1.18437,1.18637,6220,4032.55
2020-09-14 15:00:00,1.18637,1.18687,1.18565,1.18565,5014,3973.85
2020-09-14 16:00:00,1.18566,1.18661,1.18495,1.18548,5325,3788.45
2020-09-14 17:00:00,1.18548,1.18759,1.18538,1.1873,5683,3637.4
2020-09-14 18:00:00,1.1873,1.18789,1.18636,1.18666,4313,3540.75
2020-09-14 19:00:00,1.18665,1.1884,1.18646,1.18778,4597,3522.0
2020-09-14 20:00:00,1.18781,1.18879,1.18743,1.18787,8092,3623.75
2020-09-14 21:00:00,1.18788,1.18865,1.18688,1.18713,7965,3742.9
2020-09-14 22:00:00,1.18712,1.18844,1.18699,1.18733,5200,3722.95
2020-09-14 23:00:00,1.18733,1.18751,1.18645,1.18669,3633,3844.75
2020-09-15 00:00:00,1.18668,1.18678,1.18597,1.1862,2985,3985.35
2020-09-15 01:00:00,1.18619,1.18662,1.18594,1.18647,2676,4051.35
